THƯ MỤC,TÊN PHIM,Số tập,Thể loại,Ghi chú,,Cách Đăng ký xem phim,
,High & Low: Kẻ Cặn Bã - High & Low The Worst 2019,1,,,,,
,Hoa Hậu FBI – Miss Congeniality 2000 2005,2,,,,,
,Hoàng Đế Giả Mạo - Masquerade 2012,1,,,,,
,Hoàng Đế Tối Thượng / Ông Hoàng - The King 2017,1,,,,,
,Hổ Giấy - The Paper Tigers 2020,1,,,,,
,Hội Phê Cần - Half Baked 1998,1,,,,,
,Huyền Thoại Rừng Xanh - Mowgli: Legend of the Jungle 2018,1,,,,,
,Hương vị đồng tiền - The Taste of Money 2012,1,,,,,
PHIM 13,Jack Ryan Đặc Vụ Bóng Đêm - Jack Ryan: Shadow Recruit 2014,1,,,,,
,Kẻ Cắp Giáng Sinh - The Grinch 2018,1,,,,,
,Kế Hoạch Baby - Rob B Hood  2006,1,,,,,
,Không Nói Thành Lời - Enough Said 2013,1,,,,,
,Khu Biệt Giam Số 99 - Brawl in Cell Block 99 2017,1,,,,,
,Kiểu tiếp xúc thứ 3 - Close Encounters of the Third Kind 1977,1,,,,,
,Kỳ Nghỉ Cuối Cùng - Last Holiday 2006,1,,,,,
PHIM 13,Ký Sinh - Growth 2010,1,,,,,
,Ký Sinh Trùng Ngoài Hành Tinh - The Faculty 1998,1,,,,,
,Lan Quế Phường - Lan Kwai Fong 2011 2012 2014,3,,,,,
,Lan Quế Phương Ngoại Truyện - Hardcore Comedy 2013,1,,,,,
,Lễ Tình Nhân Gợi Cảm 2017,1,,,,,
,Liên Minh Thú Cưng - Pets United 2020,1,,,,,
,Lính Thủy Đánh Bộ 3: Luật Lợi Nhuận - Jarhead: Law of Return 2019,1,,,,,
,Lính Thủy Đánh Bộ 5: Quyết Chiến - The Marine 5: Battleground 2017,1,,,,,
,Luật Của Đất - Law Of The Land 2017,1,,,,,
,Lựa Chọn Sinh Tử - Run Hide Fight 2020,1,,,,,
,Mã Gen Bí Ẩn - Rupture 2016,1,,,,,
,Mạng Xã Hội - The Social Network 2010,1,,,,,
,Miền Tây Hoang Dã – Wild Wild West 1999,1,,,,,
PHIM 13,Mùa hè của Luca - Luca 2021,1,,Mới,,,
,Muốn Được Có Em - I Want You / Tengo ganas de ti 2012,1,,,,,
,Mỹ Hầu Vương: Thật Giả Tôn Ngộ Không - The Monkey King: The True Sun Wukong 2019,1,,,,,
,Nàng Thơ Ngày Hôm Qua - C'est Si Bon 2015,1,,,,,
,Ngục Tù Phong Vân - Prison on Fire 1987 1991,2,,,,,
,Người 200 Tuổi - Bicentennial Man 1999,1,,,,,
,Người Cha - The Father 2021,1,,,,,
,Người Đẹp Trốn Chạy - Nessun Dorma 2016,1,,,,,
,Người Đi Trong Mưa - Rain Man 1988,1,,,,,
PHIM 13,Nhà vô địch Quyền Anh / Con đường võ sĩ - Southpaw 2015,1,,,,,
,Nhật Ký Tình Yêu - The Notebook 2004,1,,,,,
,Như Đúng Rồi / Sếp Trùm - Like a Boss 2020,1,,,,,
,Những Cô Gái Cuối Cùng - The Final Girls 2015,1,,,,,
,Những kẻ mộng mơ - The Dreamers 2003,1,,,,,
,Paris Tốc Hành - Coursier 2010,1,,,,,
,Phạm Điều Cấm Kỵ - Disobedience 2017,1,,,,,
,Phép lạ từ Thiên Đường - Miracles from Heaven 2016,1,,,,,
PHIM 13,Quá Khứ - The Past 2013,1,,,,,
,Rồng Đất - Tremors 1990 1996 2001 2004 2015,5,,,,,
,Rồng đỏ - Red Dragon 2002,1,,,,,
,Sát Nhân Đông Lạnh - Jason X 2001,1,,,,,
,Sát Thủ Báo Thù - The Assignment 2016,1,,,,,
,Sát Thủ Mồ Côi - Largo Winch 2008 2011,1,,,,,
,Sắc màu của cuộc chiến / Mê cung trắng đen - Color of The Game 2017,1,,,,,
,Siêu điệp viên Mỹ - American Ultra 2015,1,,,,,
,Siêu Khuyển - Underdog 2007,1,,,,,
,Số 5 Hoàn Hảo - 5 Is The Perfect Number 2019,1,,,,,
PHIM 13,Sút và Hét - Kicking & Screaming 2005,1,,,,,
,Sự Chia Cắt - The Divide 2011,1,,,,,
,Sự Nổi Loạn Hoàn Hảo - Pitch Perfect 2012 2015 2017,1,,,,,
,Sự Trở Lại Của Black Adam - Superman Shazam The Return 2010,1,,,,,
,Tách Biệt - Split 2016,1,,,,,
,Tái Xuất - Re: Born 2016,1,,,,,
,Terra Willy: Cuộc Phiêu Lưu Tới Hành Tinh Lạ 2019,1,,,,,
,Thảm Họa Hạt Nhân Chernobyl - Chernobyl: Abyss 2021,1,,,,,
,Thám Tử K: Bí Mật Đảo Hoang 2015,1,,,,,
,Thám Tử Phố Tàu - Detective Chinatown 2015 2018 2021,3,,,,,
PHIM 13,Thành Phố Robot - Robots 2005,1,,,,,
,Thần Lorax - Dr. Seuss The Lorax 2012,1,,,,,
,The Life of David Gale - Cuộc đời David Gale 2003,1,,,,,
,Thiên Đường Xa Lạ - A Stranger In Paradise 2013,1,,,,,
,Thoát Khỏi Biển Lửa - Out of Inferno 2013,1,,,,,
,Thợ May Trả Thù - The Dressmaker 2015,1,,,,,
,Thứ 6 - Next Friday 2000,1,,,,,
PHIM 13,Thực Tập Sinh - The Internship 2013,1,,,,,
,Tim Rồng: Trận Chiến Dành Heartfire 2017,1,,,,,
,Tình Thời Loạn - Colonia 2015,1,,,,,
,Tình Yêu Nơi Quán Rượu - Sideways 2004,1,,,,,
,Trả Giá Cho Lòng Tham - Tumbbad 2018,1,,,,,
,Trò Chơi Kinh Hoàng - Gerald's Game 2017,1,,,,,
,Trò chơi thảm sát - Funny Games 2007,1,,,,,
,Trò Chơi Tình Ái - Serenity 2019,1,,,,,
,Trốn thoát - Get Out 2017,1,,,,,
,Truy Kích - Abduction 2011,1,,,,,
,Tuổi Trẻ - Youth 2015,1,,,,,
PHIM 13,Tước Tích - LORD: Legend of Ravaging Dynasties 2016 2020,2,,,,,
,Ước Gì Anh Ở Đây - Wish I Was Here 2014,1,,,,,
,Văn Phòng Nhân Đạo - The Humanity Bureau 2018,1,,,,,
,Vét Cú Chót - Superfly 2018,1,,,,,
,Vô Hạn - Infinite 2021,1,,Mới,Bản 4K WebDL,,
,Vùng Đất Chết / Kẻ Du Mục - Nomadland 2020,1,,,,,
https://drive.google.com/drive/folders/1lRsUVIflXX3fZfexZzQsR865zEcPmaZ6?usp=sharing,Vùng Trời Tử Thần - Horizon Line 2021,1,,,,,
PHIM 13,Vươn Tới Cung Trăng - Over the Moon 2020,1,,,,,
PHIM 14,3 Ngày Đổi Mạng - 3 Days To Kill 2014,1,,,,,
https://drive.google.com/drive/folders/1SnSGCFMcDY9l58ayKERBE1QcCm9ZI-w1?usp=sharing,6 Ngày 7 Đêm - Six Days Seven Nights 1998,1,,,,,
176,22 Viên đạn / Kẻ Bất Tử - 22 Bullets 2010,1,,,,,
,Ác Nhân - I Saw the Devil 2010,1,,,,,
,Ác Quỷ Hiện Hình - The Apparition 2012,1,,,,,
,Ám Sát Tiểu Thuyết Gia - A Writer's Odyssey 2021,1,,,,,
,Amazon Hot Box 2018,1,,,,,
PHIM 14,Bà Hoàng Buôn Cỏ - La daronne / Mama Weed 2020,1,,,,,
,Ba Kẻ Đào Tẩu - Three Fugitives 1989,1,,,,,
,Ba Ngày Nhục Hình - 3 Days Of A Blind Girl 1993,1,,,,,
,Bản Tango Cuối Cùng Ở Paris - Last Tango in Paris 1972,1,,,,,
,Bản Tin Đặc Biệt - Scoop 2006,1,,,,,
PHIM 14,Cá Mập 2 Đầu - 2 Headed Shark Attack 2012,1,,,,,
,Cảnh Sát Phạm Tội  - The Bad Lieutenant: Port of Call - New Orleans 2009,1,,,,,
,Cảnh Sát Phạm Tội - Bad Lieutenant 1992,1,,,,,
,Cẩm Nang Xanh - Green Book 2018,1,,,,,
PHIM 14,Chiến Binh La Mã - The Eagle 2011,1,,,,,
,Chim Ruồi - Redemption / Hummingbird 2013,1,,,,,
,Chống Lại Cả Thế Giới - Scott Pilgrim vs the World 2010,1,,,4K Bluray,,
,Chris Tucker Độc Thoại - Chris Tucker Live 2015,1,,,,,
,Chú Tinh Tinh Go - Mr. Go 2013,1,,,,,
,Chuyện Tình Của Jane - Becoming Jane 2007,1,,,,,
,Có Tội Hay Không / Chứng minh Tôi có tội - Find Me Guilty 2006,1,,,,,
PHIM 14,Cô Giữ Trẻ Sát Nhân - The Babysitter 2017,1,,,,,
,Cô Hầu Gái - The Housemaid / Hanyo 2010,1,,,,,
,Cỗ Máy Tội Phạm - A Clockwork Orange 1971,1,,,,,
,Cô Nàng Giả Trai - Just One of the Guys 1985,1,,,,,
PHIM 14,Công Tố Viên Hung Bạo - A Violent Prosecutor 2016,1,,,,,
,Cuộc Chiến Hủy Diệt - Skylines 2020,1,,,,,
,Cuộc Xâm Lược Trái Đất - The Blackout 2019,1,,,,,
,Dáng Hình Thanh Âm - A Silent Voice / Koe no Katachi 2017,1,,,,,
,Dấu Ấn Tử Thần - Marked For Death 1990,1,,,,,
PHIM 14,Dị Nhân Benjamin - The Curious Case of Benjamin Button 2008,1,,,,,
,Dục Vọng Đàn Bà - The Deep Blue Sea 2011,1,,,,,
,Đại Binh Tiểu Tướng - Little Big Soldier 2010,1,,,,,
,Đại Chiến Bến Thượng Hải - Once Upon a Time in Shanghai 2014,1,,,,,
PHIM 14,Đại Chiến Titan (Live-action) - Attack on Titan 2015 2015 2015,3,,,,,
,Đại Gia Gastby - The Great Gatsby 2013,1,,,,,
,Đại Thoại Tây Du / Tây du ký Chí Tôn Bảo - A Chinese Odyssey 1994 1995 2016,3,,,,,
,Đại Truy Bổ - Nightfall 2012,1,,,,,
PHIM 14,Đi Ngược Thời Gian Để Tìm Em - Hello World (Anime) 2019,1,,,,,
,Điềm gở - Sinister 2012 2015,2,,,,,
,Đoạt Mạng - Taking Lives 2004,1,,,,,
,Đội Tuần Tra Mê Gái - Observe And Report 2009,1,,,,,
PHIM 14,Đồng Tiền Đen - War on Everyone 2016,1,,,,,
,Đường Đến Xứ Sở Thần Tiên - Bridge to Terabithia 2007,1,,,,,
,Em Của Thời Niên Thiếu - Better Days 2019,1,,,,,
,Fate/Stay Night: Heaven's Feel / Spring Song - Khúc Xuân Ca 2017 2019 2020,3,,,,,
,Gặp Lại Dưới Biển - Hook 1991,1,,,,,
,Giải Cứu Con Tin​ - Saving Mr.Wu 2015,1,,,,,
PHIM 14,Giây Phút Đoạt Mệnh - Running Out of Time 1999 2001,2,,,,,
,Good Morning - aka Ohayo 1959,1,,,,,
,Ham Muốn Tuổi Teen - Little Thirteen 2012 18+,1,,,,,
,Hạnh Phúc Mong Manh - The Weather Man 2005,1,,,,,
,Hiện Tượng Siêu Nhiên - Paranormal Activity 2007 2010 2011 2012 2014 2015 2021,7,,,,,
PHIM 14,Hố Tử Thần / Hố Địa Ngục - The Superdeep 2020,1,,,,,
,Hồi Ức Kẻ Sát Nhân - Memories of Murder 2003,1,,,,,
,Hồi Ức Về Những Cô Gái Điếm Buồn Của Tôi - Memoria de mis putas tristes 2011,1,,,,,
,Hung thần trắng - Great White 2021,1,,,,,
,Kẻ Ám Sát - Accident Man 2018,1,,,,,
PHIM 14,Kẻ cắp gặp ông già / Tin Vào Kẻ Trộm - Thick as Thieves 1999 2009,2,,,,,
,Kẻ Đào Tẩu - The Fugitive 1993,1,,,,,
,Kẻ liều mạng - Desperado 1995,1,,,,,
,Kẻ Săn Đêm - Nocturnal Animals 2016,1,,,,,
,Kẻ Thù Trước Cổng - Phim Enemy at the Gates 2001,1,,,,,
PHIM 14,Kế Hoạch Tàn Nhẫn - Lizzie 2018,1,,,,,
,Khách Sạn Ma Quái - Big Fortune Hotel 2015,1,,,,,
,Khát Vọng Thượng Lưu - High Society 2018,1,18+,,,,
,Khi Các Sơ Hành Động - Sister Act 1992,1,,,,,
,"Khi Muốn Khóc, Tôi Đeo Mặt Nạ Mèo - A Whisker Away 2020",1,,,,,
,Khu Rừng Nhỏ - Little Forest 2018,1,,,,,
PHIM 14,Kiểu Không Hợp Có Lý - The Right Kind of Wrong 2013,1,,,,,
,Kỵ Sĩ Công Lý - Riders of Justice 2020,1,,,,,
,L'Enfer / Hell / Jealousy 1994,1,,,,,
,Liên quân siêu thú - StarDog and TurboCat 2019,1,,,,,
,Loài Ác Độc - Species 1995 1998 2004 2007,4,,,,,
,Lời Ca Và Tiếng Nhạc - Music and Lyrics 2007,1,,,,,
,Lời Nguyền / Đám cưới đen - Dark Spell 2021,1,,,,,
PHIM 14,Lời Nguyền Ác Quỷ - Drag Me To Hell 2009,1,,,,,
,Lời Thú Tội / Ký Ức Của Kẻ Sát Nhân - Memoir Of A Murderer 2017 (bản Japan),1,,,,,
,Lời thú tội của kẻ sát nhân - Confession of Murder 2012 (bản Hàn),1,,,,,
,Lupin Đệ Tam: Siêu Đạo Chích - Lupin III 2014,1,,,,,
,Lupin Đệ Tam: The First - Lupin III: The First 2020,1,,,,,
PHIM 14,Lưỡi Kiếm Bất Tử - Blade of the Immortal 2017,1,,,,,
,Ma Cà Rồng Quỷ Quái - Vampires Suck 2010,1,,,,,
,Ma Cô Hoàn Lương - Bad Guy 2001,1,,,,,
,Mặt Trăng - Moon 2009,1,,,,,
,Mật Thám / Trò đùa nguy hiểm - Sleuth 2007,1,,,,,
,Mẹ Ma Than Khóc La Llorona – The Curse Of La Llorona 2019,1,,,,,
PHIM 14,Một ngày - Oneday 2012,1,,,,,
,Một Thời Ở Mexico - Once Upon a Time in Mexico 2003,1,,,,,
,Mỹ Nhân Đồ - Portrait Of A Beauty 2008,1,,,,,
,Nạn nhân của chiến tranh - Casualties of War 1989,1,,,,,
,Ngày Luân Hồi - A Day 2017,1,,,,,
PHIM 14,Ngoại Già Lắm Chiêu - Grannys Got Talent 2015,1,,,,,
,Ngôi nhà chết chóc / Kinh Hoàng Nhà Cổ - Dream House 2011,1,,,,,
,Ngôi Sao Phương Đông - The Star 2017,1,,,,,
,Người bạn bất đắc dĩ / Thánh Vincent - St. Vincent 2014,1,,,,,
,Người Bị Bỏ Rơi - Disregarded People 2014 18+,1,,,,,
PHIM 14,Người dơi - Batman 1989 1992 1995,1,,,,,
,Người Đàn Bà Áo Đen - The Woman in Black 2012 2014,2,,,,,
,Người Đến Từ Quá Khứ - Blast from the Past 1999,1,,,,,
,Người Làng - Ordinary People / The Villagers 2018,1,,,,,
,Người Máy Mỹ Nhân - Robotrix 1991,1,,,,,
,Người Tiên Phong - Vanguard 2020,1,,,,,
,Nhà Trọ Tình Yêu - Falling Inn Love 2019,1,,,,,
PHIM 14,"Nhanh thì sống, Chậm thì chết - The Quick and the Dead 1995",1,,,,,
,Nhất Kế Nhì Tài - No Risk No Gain 1990,1,,,,,
,Nhật Ký Vú Em - The Nanny Diaries 2007,1,,,,,
,Nhóc Jojo - Jojo Rabbit 2019,1,,,,,
,Nhóc Nicolas - Le petit Nicolas 2009 2019,2,,,,,
PHIM 14,Những Chiến Binh Bất Tử - The Old Guard 2020,1,,,,,
,Những Cô Nàng Lắm Chiêu - Mean Girls 2004 2011,2,,,,,
,Nữ Sát Thủ Xinh Đẹp - Violet & Daisy 2011,1,,,,,
,Phi Vụ Cuối Cùng / Kẻ Phản Bội - The Italian Job 2003,1,,,,,
,Phía Dưới Gầm Giường - Under Your Bed 2019,1,,,,,
PHIM 14,Phòng Cách Ly - The Clinic 2010,1,,,,,
,Phù Thủy - The Witch 2015,1,,,,,
,Phút Bối Rối - That Awkward Moment 2014,1,,,,,
,Phút Kinh Hoàng Tại El Royale - Bad Times at the El Royale 2018,1,,,,,
,Quái kiệt thất thế - The Losers 2010,1,,,,,
PHIM 14,"Quý ngài hai mặt - Me, Myself & Irene 2000",1,,,,,
,Sĩ Quan Ottoman - The Ottoman Lieutenant 2017,1,,,,,
,Tay Đàn Sát Thủ - El Mariachi 1992,1,,,,,
,Thái Cực Hiệp - Man of Tai Chi 2013,1,,,,,
,Thái Cực Quyền - Tai Chi Zero / Tai Chi Hero 2012 2012,2,,,,,
PHIM 14,Thám Tử Lừng Danh Conan - Conan Movie,1,,,,,
,Thanh Gươm Diệt Quỷ : Chuyến Tàu Vô Tận - Demon Slayer: Mugen Train 2020,1,,,,,
,Thập Nguyệt Vi Thành - Bodyguards and Assassins 2009,1,,,,,
,The Hudsucker Proxy 1994,1,,,,,
,Theo Sách Vở - Going by the Book 2007,1,,,,,
PHIM 14,Thế Giới Ma - Ghost World 2001,1,,,,,
,Thêm Vài Đồng Xu Lẻ - For a Few Dollars More 1965,1,,,,,
,Thị trấn Paper - Paper Towns 2015,1,,,,,
,Thị Trấn Tình Yêu - Elizabethtown 2005,1,,,,,
,Thị Trấn Tội Ác - The Town 2010,1,,,,,
PHIM 14,Thị Trưởng Grom - Major Grom: Plague Doctor / Mayor Grom: Chumnoy Doktor 2021,1,,,,,
,Thỏ Peter - Peter Rabbit 2018 2021,2,,,,,
,Thợ Săn Linh Hồn - The Soul Hunter 2016,1,,,,,
,Thủ Lĩnh Cuối Cùng - The Last Tycoon 2012,1,,,,,
,Tiếng Anh Là Chuyện Nhỏ - I Can Speak 2017,1,,,,,
PHIM 14,Tĩnh vật cảm xúc - Still Life of Memories 2018,1,,,,,
,Trăn Nam Mỹ / Rắn Khổng Lồ - Anaconda 1997 2004 2008 2009,4,,,,,
,Trong Tầm Lửa Đạn - In the Line of Fire 1993,1,,,,,
,Truy Lùng 44 - Catch 44 2011,1,,,,,
,Viên Cảnh Sát Xảo Quyệt - Filth 2013,1,,,,,
,Vịnh im lặng - The Bay of Silence 2020,1,,,,,
,Vợ Của Jakob - Jakob Wife 2021,1,,,,,
https://drive.google.com/drive/folders/1SnSGCFMcDY9l58ayKERBE1QcCm9ZI-w1?usp=sharing,Vu lan thần công / Ma đói - Hungry Ghost Ritual 2014,1,,,,,
PHIM 14,Vương Triều Dục Vọng - The Treacherous 2015,1,,,,,
PHIM 15,Ác Quỷ Jeruzalem - Jeruzalem 2015 ,1,,,,,
https://drive.google.com/drive/folders/1-nDvIs9sD4glHCKeMA8E2uCF_n60iSEl?usp=sharing,Ác Quỷ Ma Sơ: Chuyện Chưa Kể - The Convent 2018,1,,,,,
176,Ám Sát - Accident / Assassins 2009,1,,,,,
,Áo giáp Hoàng đế / Đi Tìm Bảo Kiếm - Armour of God 1986 1991,2,,,,,
,Archive 2020,1,,,,,
,Ascendant 2021,1,,,,,
,Bà Đồng / Thầy Cúng - The Medium 2021,1,,,,,
,Bản Báo Cáo Europa - Europa Report 2013,1,,,,,
PHIM 15,Bàn Tay Của Quỷ - The Devil's Hand 2014,1,,,,,
,Bạn Thân - Friendzone 2021,1,,,,,
,Báo Thù - True Grit 2010,1,,,,,
,Băng Cướp Xinh Đẹp - Bandidas 2006,1,,,,,
,Bệ Hạ Vạn Tuế - Long Live the King 2019,1,,,,,
,Biệt Đội Bắt Cương Thi - Vampire Cleanup Department 2017,1,,,,,
,Bông hồng chết người - The Poison Rose 2019,1,,,,,
,Brave: Gunjyo Senki 2021,1,,,,,
PHIM 15,Búp Bê Hơi - Air Doll 2009,1,,,,,
,Cá Hổ Ăn Thịt Người - Piranha 3D 2010 2012,2,,,,,
,Cái Tên Khắc Sâu Trong Tim Người - Your Name Engraved Herein 2020,1,,,,,
,Cảnh báo nguy hiểm - Warning 2021,1,,,,,
,Cánh Cửa - Doors 2021,1,,,,,
,Catch the Bullet 2021,1,,,,,
,Cậu Bé Nổi Loạn - Capernaum 2018,1,,,,,
PHIM 15,Cha Tôi Là Găng Tơ - Run Papa Run 2008,1,,,,,
,Chị Hầu Gái - Malizia / Malicious 1973,1,,,,,
,Chiến Binh Bí Ẩn / Người Hùng Ong Xanh - The Green Hornet 2011,1,,,,,
,Chiến Binh Merantau - Merantau 2009,1,,,,,
,Cho Đến Khi Chết - Till Death 2021,1,,,,,
,Chống Chọi Với Virus - Antiviral 2012,1,,,,,
,Chơi Ngải - Art Of The Devil 2004 2005,1,,,,,
PHIM 15,Chú Ngựa Bất Kham - Spirit Untamed 2021,1,,,,,
,Chúng ta - Wij 2018,1,,,,,
,Chúng Ta Của Sau Này - Us And Them 2018,1,,,,,
,Chung Vô Diệm - Wu Yen 2001,1,,,,,
,Chuyến Đi Định Mệnh - News of the World 2020,1,,,,,
,Chuyện Giới Tính Của Một Gia Đình Pháp 18+,1,,,,,
,Chuyện Kinh Dị Đêm Nay - Nightbooks 2021,1,,,,,
PHIM 15,Chuyện Tình Sau Núi - Brokeback Mountain 2005,1,,,,,
,Cinderella - Cô Bé Lọ Lem 2021,1,,,,,
,Con Đường Băng - The Ice Road 2021,1,,,,,
,Con Lợn - Pig 2021,1,,,,,
,Con Tàu Chiến Thắng - Space Sweepers 2021,1,,,,,
PHIM 15,Cô Bạn Bí Ẩn - Let Me In 2010,1,,,,,
,Cô bạn gái của người lính - Soldier's Girl 2003,1,,,,,
,Cô gái năm xưa chúng ta cùng theo đuổi - You Are the Apple of My Eye 2011,1,,,,,
,Cô Gái Người Sắt - Iron Girl: Ultimate Weapon 2015,1,,,,,
,Cô Gái Trong Mơ - Ruby Sparks 2012,1,,,,,
PHIM 15,Cuộc Chiến Kí Sinh Trùng Kích Dục - Parasite Doctor Suzune ,1,,,,,
,Cuộc Đua Của Võ Sĩ - Samurai Marathon 1855 2019,1,,,,,
,Cuộc Phiêu Lưu Của Nhà Croods - The Croods 2013 2020,2,,,,,
,Cuộc tấn công từ sao hỏa - Mars Attacks! 1996,1,,,,,
,Dàn Đồng Ca - The Chorus 2004,1,,,,,
,Duyên Số - Serendipity 2001,1,,,,,
,Đảo ấu trùng - The Larva Island Movie 2020,1,,,,,
PHIM 15,Đất Mẹ - Gaia 2021,1,,,,,
,Đêm Của Quỷ Dữ - Night of the Demons 1988 1994,2,,,,,
,Đêm Giao Thừa - New Year Blues 2021,1,,,,,
,Đi Thật Xa - Come Away 2020,1,,,,,
,Địa Ngục Đẫm Máu - Bloody Hell 2021,1,,,,,
,Điều đó có thể xảy ra với bạn - It Could Happen to You 1994,1,,,,,
,Đôi Chân Trần - Barefoot 2014,1,,,,,
PHIM 15,Đột Kích - The Raid 2011 2014,2,,,,,
,Đứa Trẻ Mồ Côi - Orphan 2009,1,,,,,
,Đương Đầu Thử Thách - Die Hard 1988 1990 1995 2007 2013,5,,,,,
,Địa Đạo Đẫm Máu / Đường Ống Chết Chóc - Meander 2020,1,,,,,
,Gà Tây Mê Quẩy - Turu: The Wacky Hen 2020,1,,,,,
,Gia Đình - Dans la maison 2012,1,,,,,
,Giải Cứu Con Gái - Take Back 2021,1,,,,,
PHIM 15,Giải thoát - Let Her Out 2016,1,,,,,
,Giam Cầm - The Mauritanian 2021,1,,,,,
,Gọi Quỷ - Demonic 2021,1,,,,,
,Hành Tinh Cát - Dune 2021,1,,,,,
,Hầm Quỷ - Behind You 2020,1,,,,,
PHIM 15,Hết Đường Trốn Chạy / Kẻ thù của Liên Bang - Enemy Of The State 1998,1,,,,,
,Hiệp Sĩ Vương Quốc Bá Đạo - Knights Of Badassdom 2013,1,,,,,
,Hiệp Sĩ Xanh / Lục Hiệp sĩ - The Green Knight 2021,1,,,,,
,Hoàn Toàn May Mắn - Pure Luck 1991,1,,,,,
,Hội hóa trang - Masquerade 2021,1,,,,,
PHIM 15,Hỗn Loạn - Chaos 2005,1,,,,,
,Huấn Luyện Viên Đấu Vật - Dangal 2016,1,,,,,
,Injustice 2021,1,,,,,
,Jackson Vô Giá - Anything for Jackson 2020,1,,,,,
,"Josée, Nàng Thơ Của Tôi - Josee 2020",1,,,,,
PHIM 15,Kẻ Báo Thù Cuối Cùng - Last Man Down 2021,1,,,,,
,Kẻ Cùng Đường - John Q 2002,1,,,,,
,Kẻ Nguyền Ta Chết - Those Who Wish Me Dead 2021,1,,,,,
,Kẻ Trừng Phạt - The Punisher 1989,1,,,,,
,Khát Vọng Đổi Đời - Minari 2020,1,,,,,
,Khỏa Thân - Nude 2010,1,,,,,
,Kiếm Sĩ Cơ Hàn - The Twilight Samurai 2002,1,,,,,
PHIM 15,Kỳ Nghỉ Nhớ Đời - The Golden Holiday 2020,1,,,,,
,Kỵ Sĩ Rồng / Cậu Bé Rồng - Eragon 2006,1,,,,,
,Lánh đời - Wendy and Lucy 2008,1,,,,,
,Lão hóa / Già Nua - Old 2021,1,"Thể loại: Kinh Dị, Bí Ẩn",,,,
PHIM 15,Lễ Trừ Tà - The Vatican Tapes 2015,1,,,,,
,Lifeforce,1,,,,,
,Lối sống trụy lạc - Havoc 2005,1,,,,,
,Lối Vào - The Gateway 2021,1,,,,,
,Lời mời - The Invitation 2015,1,,,,,
,Luật Sư Của Quỷ – The Devil's Advocate 1997,1,,,,,
,Màn Đêm Kéo Đến - The Night Comes for Us 2018,1,,,,,
PHIM 15,Mark Felt: Kẻ Đánh Bại Nhà Trắng - Mark Felt: The Man Who Brought Down the White House 2017,1,,,,,
,Miền đất hứa - The Promised Neverland 2020,1,,,,,
,Miền Máu Lửa - Appaloosa 2008,1,,,,,
,Mối Quan Hệ Nguy Hiểm - Dangerous Liaisons 1988,1,,,,,
,Mối Tình Tội Lỗi - Elena 2011,1,,,,,
,Một Lần Làm Găngxtơ - Once A Gangster 2010,1,,,,,
,Một Tuần Để Chết - Dead In A Week 2018,1,,,,,
PHIM 15,Nàng Thơ Của Quỷ - Muse 2017,1,,,,,
,Năm Biến Động - 1921 2021,1,,,,,
,Ngôi làng bí ẩn - Ladda Land 2011,1,,,,,
,Ngôi Nhà Về Đêm - The Night House 2021,1,,,,,
,Nguồn gốc tội lỗi / Tội Ác Nguyên Thủy - Original Sin 2001,1,,,,,
,Nguyên Tố Thứ Năm - The Fifth Element 1997,1,,,,,
,Người Nhân Bản - Seobok 2021,1,,,,,
PHIM 15,Nhân cách cuối cùng / Tiêu diệt bản ngã - The Scribbler 2014,1,,,,,
,Nhân Đôi Tình Yêu - Double Patty 2021,1,,,,,
,Nhu Đạo Long Hổ Bang - Throw Down 2004,1,,,,,
,Những Kẻ Sinh Tồn - The Survivalist 2015,1,,,,,
,Những Kẻ Xấu Xa / Những tên khốn - The Misfits 2021,1,,,,,
,Nộ Hỏa - Raging Fire / Crossfire 2021,1,,,,,
,Nụ Hôn Ma Cà Rồng - Embrace Of The Vampire 1995,1,,,,,
PHIM 15,Nữ Hoàng Anh - The Queen 2006,1,,,,,
,Nữ Hoàng Lừa Đảo - Queenpins 2021,1,,,,,
,Nữ Thần Tình Yêu - Goddess Of Love 2015,1,,,,,
,Nửa Đêm Ở Switchgrass - Midnight in the Switchgrass 2021,1,,,,,
,On the Occasion of Remembering the Turning Gate 2002,1,,,,,
PHIM 15,Phiến Quân Của Pt-218 - The Rebels Of Pt-218 2021,1,,,,,
,Play Motel 1979,1,18+,,,,
,Romeo And Juliet 1996,1,,,,,
,Sát Nhân Gunther - Killing Gunther 2017,1,,,,,
,Siêu Trộm Đường Phố - Twist 2021,1,,,,,
,Song Trùng - Parallel 2021,1,,,,,
,Superhost 2021,1,,,,,
PHIM 15,Sức Mạnh - The Power 2021,1,,,,,
,Tay Trộm Hoàn Hảo - The Thomas Crown Affair 1968 1999,2,,,,,
,Tế xác - Jessabelle 2014,1,,,,,
,Thám Hiểm Rừng Xanh - Jungle Cruise 2021,1,,,,,
,Thảm Họa Minamata - Minamata 2020,1,,,,,
,Thành Phố Băng Đảng - Rogue City 2020,1,,,,,
,Thần Djinn - The Djinn 2021,1,,,,,
PHIM 15,The Mountain 2012 2016,2,,,,,
,Thoát khỏi làng quê - Cut Bank 2014,1,,,,,
,Thoát Ra - The Take 2009,1,,,,,
,Thủ Phạm / Tội lỗi - The Guilty 2018,1,,,,,
,Tình người duyên ma - Pee Mak Phrakanong 2013,1,,,,,
,Toàn Thành Giới Bị - City Under Siege 2010,1,,,,,
